product_id,quantity,wholesale_cost,sale_price,supplier_id,entry_number
Y27ZNWQK90NP,2389,113.64,201.6,ETDIKIUX,1
JHEDVY7ZDJYQ,5912,423.72,797.02,ZPKADLOY,2
EBERM8PI6EXU,4191,373.1,705.53,SJNDDKHP,3
4L1DKUQOWJ7C,1611,110.48,130.48,TBFMEXZP,4
5VPPAUCOX6AS,789,38.22,72.24,ETDIKIUX,5
SYOR7LJWOEBT,7039,431.95,705.81,RRQRPLPC,6
G3EH8BM0X3FO,2315,133.37,229.66,ZIFGDSBU,7
ZBC674ER6ZRM,5225,403.42,682.59,XQNLETCQ,8
7RLP9KGNSR3R,2481,126.65,204.79,KLKTZKQO,9
PXNDZ8A9QW62,6482,441.64,660.25,KLKTZKQO,10
FV29MY1KTUKP,5615,410.14,481.09,TBFMEXZP,11
8ZRBV0LGLNVK,4314,375.7,615.4,ALMIABVI,12
90SZJDRJZ6SJ,3457,423.72,786.85,BFUNSFKM,13
FT13C9UTO7VY,4885,388.8,502.72,JJWNIRPA,14
6MU1ULJMICGC,6989,369.22,672.72,YSNZSYCW,15
M7UGK7KEIR7J,6227,406.1,644.89,UADILPBU,16
NDN7A9JRX66R,4507,391.44,448.98,ETDIKIUX,17
NLMPPW5H1YKE,527,30.46,56.56,TNMMSLVC,18
Y099VZA7TQ81,3216,396.75,496.73,HLOMDGRN,19
4BYRTPDD99II,4155,351.32,468.31,TNMMSLVC,20
IBV9A2WIH29B,1849,128.32,162.32,BFUNSFKM,21
L7A6OQWQC458,6140,436.09,735.25,DHHNINFB,22
W9VMNV20Q9O8,1345,132.53,184.88,XIBBYVIU,23
YI8D13JBXRY7,3703,404.76,622.12,KGMBUKHN,24
2AQWSVNL49NG,4381,402.08,756.71,TDKEXBDM,25
BAGRMYLA2QLM,335,9.09,13.69,KGMBUKHN,26
Z8CPXFZE6OTO,6148,448.62,805.72,ZIFGDSBU,27
HS9EK3K463KP,2533,105.8,128.34,WKCFRMPT,28
U3ABZSH6YMI9,1867,125.82,154.13,YSNZSYCW,29
J2H0XCVIE0AO,4893,415.55,566.39,KNJMLLYG,30
FNM1XNJRIGZM,818,30,39.42,HCAEQTQO,31
98C7Q5NACM78,6397,399.41,455.33,OCGDGDZP,32
V1MLGPPBMAUG,5301,431.95,530,WUYMREXN,33
06Y9S6T2CRNQ,1210,127.48,200.02,NPKFJYGX,34
5981EUSTMNLB,1585,126.65,145.27,MXRXJVNA,35
G4OR5IUIYZ6M,1973,129.99,165.74,XQNLETCQ,36
PE6YLNQ8ZV6O,4037,377,495,HCAEQTQO,37
CTF6B6BLJJ2G,5712,391.44,558.58,XQNLETCQ,38
TP1ZU5DY2T24,4052,433.33,656.06,JGOQSFJF,39
74P0L76BW5K1,725,51.18,72.37,VKJBFVMM,40
7XJ3N2AE7SC4,2501,122.52,151.8,SNDMWIRM,41
WXYKPMMGP1P7,5086,423.72,516.09,WUYMREXN,42
L4Z5T0ASAYT0,6412,396.75,459.04,UADILPBU,43
ESAG9HQX1UDS,4789,406.1,733.42,MXRXJVNA,44
YFNH5R28AD2Q,6006,407.45,706.93,KNJMLLYG,45
WNBUXWFT6IWJ,3011,373.1,678.3,DHHNINFB,46
L4GWEB10X36W,1824,133.37,209.12,ZPKADLOY,47
UACIU1JJEOAO,1826,112.05,153.28,YSNZSYCW,48
WHMIRHK3WFNO,3368,391.44,597.34,KLKTZKQO,49
Y2B8EHNRAZJX,511,35.22,44.27,DGECGNQD,50
N365T492IF8L,4751,420.99,636.12,UADILPBU,51
LX5SXU12OCI2,701,38.22,46.51,UADILPBU,52
8RA10CGB6LXW,6662,395.42,459.48,UADILPBU,53
IZN143XP47XO,3727,407.45,453.08,DHHNINFB,54
KRG28H0CNAUD,1549,112.85,145.92,VKJBFVMM,55
07JBWPQWEU8D,6117,411.49,654.27,ZAAQILVD,56
072H9OSD8TRP,480,35.71,54.35,TBFMEXZP,57
DZ1NBN4ZND7P,5150,492.85,728.93,ADLHCQHS,58
VSCWVWO0VQNZ,4023,396.75,483.64,HLOMDGRN,59
EWH9DIIP2LB1,3332,419.63,509.01,TNMMSLVC,60
XY3FC01E7P50,670,38.73,44.85,JJWNIRPA,61
AQ52S9T3TVYP,2760,122.52,135.38,KLKTZKQO,62
XZIELK0V0QDT,2984,398.08,487.25,KNJMLLYG,63
9XOPR9G7X68S,621,34.73,57.89,BHVBUSNT,64
0AIXJPIF40F2,2857,141.98,217.09,DHHNINFB,65
IK3OHA1P09KO,951,43.43,66.32,JJWNIRPA,66
QZOTOV15GI4Q,5638,379.61,618.38,OCGDGDZP,67
JYJJA9BAQDXR,271,9.09,13.13,TNMMSLVC,68
XCR548V7KSKR,6817,400.75,608.34,UADILPBU,69
RKHC6UVVLEF6,3935,414.2,692.13,XAAOJDVJ,70
WEGL2OMY3Z79,1034,40.79,70.81,ADLHCQHS,71
IEU44O9UJFNW,3850,392.76,679.87,BFUNSFKM,72
E4GA0AB15QGB,2827,129.99,167.43,TNMMSLVC,73
2ZWHDJLDYPUB,492,44.51,77.14,PPRMRUQU,74
DQ9YPTME1UNY,5025,411.49,639.04,WUYMREXN,75
4062HTP0QZVE,6431,433.33,611.86,HLOMDGRN,76
2UT0Q0TUHFU0,1419,130.84,145.49,SJNDDKHP,77
DFFFDH9ECE4E,1972,108.13,193.55,VKJBFVMM,78
TFRG1OUPLKUT,4921,419.63,788.07,UADILPBU,79
PU1JMMKGN0NT,4351,411.49,591.72,RRQRPLPC,80
PUQUDGK84RZE,3312,360.22,684.06,XAAOJDVJ,81
1D39YPW60BD5,6683,519.32,776.38,WUYMREXN,82
QWO43CRINCOF,3698,500.15,788.74,MXRXJVNA,83
ZC5WI5WLYXHX,6497,458.45,680.34,RRQRPLPC,84
WR8KYA24IBQF,1429,125.82,166.96,TVJUGMNK,85
WNUM82IH93YL,4648,434.71,709.88,YSNZSYCW,86
6EO0218C7WEL,3239,394.09,528.87,JGOQSFJF,87
78GGODRDLU1L,6588,450.02,794.29,ZAAQILVD,88
7CNVNUH2VLJ7,890,40.79,54.41,HCAEQTQO,89
LVL53T554U2W,5808,416.91,676.23,TNMMSLVC,90
JP98ZBLL7WL8,4340,419.63,537.13,ZIFGDSBU,91
5QRHC6ID3OBK,2356,121.7,138.25,XAAOJDVJ,92
TKE95JSGVA3O,5084,358.94,609.12,GYUZEXSJ,93
9XSKB4RMWKP8,737,43.43,53.11,ADLHCQHS,94
DT6Z9JYVTBKF,4646,355.12,403.42,RRQRPLPC,95
6LAY0NUVAM2G,1473,109.69,168.81,KGMBUKHN,96
520AWOWML5J6,6101,430.58,741.03,DGECGNQD,97
Z81V3OP5L7FG,2523,142.85,181.71,NPKFJYGX,98
3XL5O85DI8V8,4960,407.45,713.44,AZOXEQLZ,99
H19W5TZLGBJ0,4372,382.22,526.7,AZOXEQLZ,100
TSQPKB0UFZP9,2294,131.68,154.59,SNDMWIRM,101
HKYNSQN42SXB,48,0.5,0.72,JGOQSFJF,102
NC31XFA8JGP4,147,3.81,7.05,TBFMEXZP,103
PHUXQQZSIZMN,2777,134.22,210.86,XIBBYVIU,104
D73MIILX4BM1,2882,108.91,182.21,TDKEXBDM,105
PYOJGXMB6A82,845,38.22,47.39,MXRXJVNA,106
YXH4HVMWHG0Y,6625,419.63,541.74,TVJUGMNK,107
SATV2GDM5414,591,48.92,72.7,PPRMRUQU,108
GIA064D3FRMV,2393,121.7,151.88,NPKFJYGX,109
Y9XLF9SJDE7I,2536,110.48,137.55,AZOXEQLZ,110
3DEPTBCP7X5F,3474,399.41,727.73,HCAEQTQO,111
T28TQPQA647Y,577,41.84,78.78,NPKFJYGX,112
HP2KVZFQ3D0R,2837,102.74,187.3,RRQRPLPC,113
X8CLXEU3AXUX,6775,392.76,649.23,CLZOYVBH,114
RTIKL2L38JXC,3557,387.48,638.18,RRQRPLPC,115
43IMHFC9KJXJ,6856,414.2,722.36,OCGDGDZP,116
S78OMI6ZZGH4,2889,129.99,164.44,CBCTPYQT,117
52CPXYLQN0QM,2606,163.52,265.23,KGMBUKHN,118
RPRA7473DABI,283,11.76,14.35,XAAOJDVJ,119
33W6AEEBJM4J,2395,119.26,206.32,YSNZSYCW,120
6AMRSQCWNTVB,2758,135.93,181.74,AZOXEQLZ,121
C6DMFOMSPBSZ,2685,126.65,141.97,ZIFGDSBU,122
O8F09Q438DKX,3051,466.96,609.85,BHVBUSNT,123
V13GDFOIAG6G,5776,398.08,682.71,PPRMRUQU,124
981VQEDM25LS,6874,370.51,599.49,NPKFJYGX,125
85M7K9KVMCQK,1376,137.65,181.97,SJNDDKHP,126
N4LNI2T1P9ZV,5068,378.3,508.81,WUYMREXN,127
3LANPUDEH10Q,6945,403.42,575.28,ZPKADLOY,128
ZIL77RK2XO8P,3818,418.27,704.78,GYUZEXSJ,129
ONK5A5Z0R2MR,4733,404.76,492.19,AZOXEQLZ,130
O7SJ900WD6TT,511,54.67,81.29,UADILPBU,131
TKNTOVLGT4ZY,5976,383.54,522,WKCFRMPT,132
JCLGR7SAESYK,2383,103.5,120.58,OCGDGDZP,133
ZFI966G4J31R,3765,433.33,735.36,TBFMEXZP,134
1CP9I3FKDBSW,6149,402.08,544.01,RRQRPLPC,135
2RZXKYPK8Y0E,719,38.73,53.52,JGOQSFJF,136
L0YSCVX8FCPB,4146,468.38,747.53,BHVBUSNT,137
B7S36H76FI6A,4998,395.42,436.54,ZPKADLOY,138
B72C1ZUG3J56,6375,383.54,638.21,TNMMSLVC,139
MCCWB7K9RC1V,6689,420.99,685.37,TNMMSLVC,140
DD64CT4CM3FR,1657,141.11,206.02,XQNLETCQ,141
GF8G9HXFZBVZ,2267,128.32,182.98,KGMBUKHN,142
UUUWEO3V7E7R,2765,103.5,159.29,TVJUGMNK,143
JQ0HOSEDG8P6,3297,443.03,713.72,AZOXEQLZ,144
B90CA15NLD9U,6038,366.64,518.43,TNMMSLVC,145
5RNU1B5X7L3Z,1535,141.11,224.93,TVJUGMNK,146
KKUS1JMU9SQR,5051,420.99,575.07,HCAEQTQO,147
S6KXVV2DDJWU,4857,377,483.69,ETDIKIUX,148
QMAJXTCMOS20,316,10.24,15.72,TBFMEXZP,149
Z4H54TAS8PDN,3580,390.12,469.7,UADILPBU,150
R1JAQ61TGFBE,2498,123.34,140.36,PPRMRUQU,151
ARZNF5XHERWC,2414,120.07,188.75,ZPKADLOY,152
EPH75CFVNYSO,548,30.92,38.87,UADILPBU,153
4WSXQBTVHE88,3229,422.35,784.3,BFUNSFKM,154
3CU364O681FE,177,10.24,18.58,XAAOJDVJ,155
H25B1AYO7342,3617,412.84,522.24,ALMIABVI,156
FMMW1ILQ5Z2V,6340,448.62,824.56,GYUZEXSJ,157
Q7LN4HMSZATZ,1063,39.75,50.05,ALMIABVI,158
UHIJ1ZHD073U,3352,398.08,480.08,HLOMDGRN,159
IL3U3EQVC9S7,3018,415.55,477.47,WUYMREXN,160
BRUDHX6S6KAK,642,35.71,52.46,UADILPBU,161
TXO8ZJ9VDUBJ,2851,120.07,159.57,ZIFGDSBU,162
T2HR8LLDGZ4G,3855,396.75,575.29,BFUNSFKM,163
TICCWR7XNHVD,1356,133.37,198.72,MXRXJVNA,164
TJBMAEU4ZE8I,4281,419.63,563.56,ETDIKIUX,165
46SEMJYIILNV,5873,400.75,561.45,SNDMWIRM,166
QRZSRGT4COST,3739,408.79,576.8,XAAOJDVJ,167
L4ZH7Z1P33Y7,4923,434.71,805.08,BHVBUSNT,168
5G7QBVA2JKVU,6879,364.07,409.21,XQNLETCQ,169
2C81K2SMJK3A,5660,411.49,560.86,TDKEXBDM,170
1QB484C911PY,418,40.27,74.74,YSNZSYCW,171
RCFQWJXSXQ4P,3802,396.75,737.16,ZVXESMVL,172
L3CWLOKB0VNZ,6851,415.55,593.82,WUYMREXN,173
QQVSMYHG21M8,5122,420.99,791.88,MXRXJVNA,174
XETGD3IJF202,5954,399.41,730.52,AZOXEQLZ,175
X1W706TWNE8C,4139,375.7,441.45,WKCFRMPT,176
EECB1IZUIRKB,2393,115.23,213.41,NPKFJYGX,177
96M2UEHPBOTW,6795,410.14,546.31,XIBBYVIU,178
UJF2PWCLS4UI,699,33.28,55.61,KLKTZKQO,179
OIS402T3XIFK,5994,388.8,492.22,BEVRQFGZ,180
VQZSOT0YVSUI,3902,364.07,445.99,ALMIABVI,181
7JZ6VRPH38UZ,35,0.89,0.99,TNMMSLVC,182
6G74EXVQAHNB,6794,402.08,652.58,OCGDGDZP,183
SIIZU5K4IHGW,2851,111.27,174.25,GYUZEXSJ,184
VOY05K5MGQ9X,4802,414.2,771.24,ZPKADLOY,185
C7ML1KQQW2UC,4678,427.83,672.12,WKCFRMPT,186
3WOK1P8DNA64,1089,38.22,54.46,ZIFGDSBU,187
DFFSXZNEJKDN,5584,398.08,477.7,RRQRPLPC,188
2BGETZJSJ67M,4244,420.99,492.56,BEVRQFGZ,189
5Q3STGWWANXY,5296,452.82,787,TBFMEXZP,190
RAQW3DC3JZ5G,3929,340.01,502.53,GYUZEXSJ,191
PIXHSJ54Y45E,2275,122.52,138.57,VKJBFVMM,192
ZYOG85QMA8I1,1993,131.68,195.15,TDKEXBDM,193
PT92TFROE136,1589,126.65,139.32,VKJBFVMM,194
OHGEF71P3Q2P,5165,419.63,540.9,CBCTPYQT,195
RP0WDL38925L,3984,451.42,760.19,JGOQSFJF,196
QA1Y7QYEFY33,6823,418.27,587.25,ZPKADLOY,197
DKSDWSR53KGH,3585,392.76,580.11,XAAOJDVJ,198
50V0IK6U9KD3,3425,407.45,730.97,DHHNINFB,199
6PMI4P7V7D07,6266,426.46,572.31,ALMIABVI,200
683JFP5YS74L,6303,423.72,526.68,UADILPBU,201
M4H00Z8T3TTG,4337,388.8,443.23,KLKTZKQO,202
G7QYYKGGDYRE,5398,390.12,491.16,AZOXEQLZ,203
0NQR32P5RZA9,6088,390.12,523.15,NPKFJYGX,204
AQ3LPMH9YEGN,6109,373.1,535.03,TVJUGMNK,205
9D060DAFZ2SO,5384,370.51,587.63,ZAAQILVD,206
0MFK8E74TLRI,7054,355.12,619.68,CLZOYVBH,207
RADXMZKPFYCV,2836,141.98,186.85,HLOMDGRN,208
S0W7EX6VVY9Q,3025,410.14,772.29,MXRXJVNA,209
G6Y384CN2COO,351,9.09,15.22,KLKTZKQO,210
Q6QDSAYKS0GC,6887,388.8,692.06,ZPKADLOY,211
4YG3IXVVW8CA,3100,386.16,581.56,NVYQIOWB,212
IDBOV1P4110K,4090,386.16,528.27,BHVBUSNT,213
JDT2UGKCRE85,941,42.37,61.61,ZPKADLOY,214
CA1HCJZQNE3E,1359,127.48,222.71,SJNDDKHP,215
LMFOBJO4WHWB,5097,364.07,529.72,PPRMRUQU,216
URF4PW6VSW3G,3561,414.2,652.78,KGMBUKHN,217
DK8K5KIJJTR5,3084,402.08,468.42,DHHNINFB,218
KF20AO2Q9F3Y,4804,422.35,775.01,RRQRPLPC,219
SQNEETKVZGML,6945,418.27,480.17,CLZOYVBH,220
602M6REVX16C,4259,407.45,454.71,TNMMSLVC,221
4IXIF68Q7OMP,6769,418.27,492.3,SNDMWIRM,222
QMU5RLJCBGAG,6376,429.2,496.58,ZAAQILVD,223
9UCC284NWZ47,1898,128.32,205.57,TVJUGMNK,224
UD6I30EUBRA6,661,42.37,72.75,SJNDDKHP,225
21OMLZGFAM1P,545,36.71,62.15,TVJUGMNK,226
HMIQTMRIYDI0,6253,396.75,637.18,ZVXESMVL,227
X2F1ZAC6FMZC,633,36.21,56.27,BFUNSFKM,228
7INC3THBVV0T,4299,492.85,581.07,MXRXJVNA,229
N8J6WQMUYAZ6,4206,396.75,647.89,TVJUGMNK,230
AAHAMO9CTVG7,1512,129.16,171.01,JGOQSFJF,231
5TOO4XMN15J7,1040,40.79,45.28,DHHNINFB,232
CI0XA79TJWH4,5232,416.91,725.84,RRQRPLPC,233
FP40N4V34DMT,4788,440.25,554.27,TVJUGMNK,234
JVKN9KOS8IAK,1745,123.34,189.2,JGOQSFJF,235
GJ7YJLQV57NI,2850,122.52,141.63,ALMIABVI,236
D8UHVO4BNCPW,3007,377,475.02,NPKFJYGX,237
RATIMGP3SW37,938,37.71,42.91,WKCFRMPT,238
Y453JE9PGENK,2711,135.08,175.47,ZIFGDSBU,239
6I44MN13X2U4,718,35.22,42.44,RRQRPLPC,240
KJULPIYYQIFB,6126,414.2,743.9,HCAEQTQO,241
Y41L222ZIGTM,2567,136.79,229.4,JJWNIRPA,242
QI4E92GLIR79,6515,444.43,791.09,OCGDGDZP,243
ZJX80R9A5DX4,6725,380.92,675.37,GYUZEXSJ,244
OF1YK6792D1F,4635,408.79,478.69,TNMMSLVC,245
WQWBEOECFJHA,5480,440.25,812.7,YSNZSYCW,246
DFPRPJI0GYLI,550,39.24,57.96,HCAEQTQO,247
086AEDB6O16X,1890,135.93,217.9,JGOQSFJF,248
0G0C41UFI1SL,5301,396.75,440,ETDIKIUX,249
52HBVB9BQA3W,4305,408.79,577.21,CLZOYVBH,250
5HQ2EPV2Q4NJ,3534,418.27,678.85,WKCFRMPT,251
Q62YF2IZXXO1,881,29.08,39.78,BHVBUSNT,252
1YEU2S2J9H49,2601,137.65,225.2,ADLHCQHS,253
82S45E3G8XLK,2285,129.99,159.11,KGMBUKHN,254
LTO8C4TCHUN7,2451,140.24,203.63,ALMIABVI,255
473I8R9J5CXS,4068,440.25,644.09,OCGDGDZP,256
4J8GCXLEIIKL,1433,142.85,175.85,YSNZSYCW,257
BG2W0Z0QTEJY,6025,388.8,527.6,TNMMSLVC,258
Q5SUXA7GKJUZ,3225,373.1,483.54,TVJUGMNK,259
CWH6GWTO4UZ9,6181,434.71,709.45,HLOMDGRN,260
TNCPX3D4R5YX,4437,388.8,459.17,XQNLETCQ,261
YQVG3J7FKH5F,322,12.08,21.1,DHHNINFB,262
ZVH77A00NE2D,932,38.22,66.43,ZAAQILVD,263
S9WVB8GL7MF0,6330,437.48,580.97,VKJBFVMM,264
UGHQSGU8U6G2,1105,124.99,172.24,XAAOJDVJ,265
8VN6VIQDK49V,1184,127.48,223.47,ADLHCQHS,266
NHX3FV1XIY0W,1928,119.26,181.63,PPRMRUQU,267
4SKNGBXB7ZDO,203,10.54,16.81,AZOXEQLZ,268
SDC9T4U0LRDW,4118,452.82,707.76,RRQRPLPC,269
N9GNE3LY138W,2618,147.24,252.22,TDKEXBDM,270
6WCG6VP0M0WQ,3744,457.04,755.94,PPRMRUQU,271
VWHDIJ2PLMLQ,1564,126.65,217.33,WUYMREXN,272
9P3FVJDY6PY0,7024,396.75,694.31,KGMBUKHN,273
ZAON1C7FNJ2I,645,42.37,74.66,BEVRQFGZ,274
8BHWVMAXLCCS,2592,116.04,175.8,TDKEXBDM,275
4QAX7FOO3FBK,4549,342.51,544.59,RRQRPLPC,276
URZGZ6GCVWNI,3437,433.33,587.16,ZIFGDSBU,277
LCXO6GZGI2J7,284,14.71,22.24,ALMIABVI,278
U1F2BT7PHBAN,1322,149.91,238.81,JGOQSFJF,279
HU6DUR46PBH1,582,32.33,38.96,XAAOJDVJ,280
JNKNZHELXSJ8,5348,380.92,618.61,DHHNINFB,281
HIAPH7Y8MHSG,4309,394.09,557.24,HCAEQTQO,282
28JMS094KL3F,6706,422.35,525.4,PPRMRUQU,283
Y91GLDEW6VJU,2920,125.82,169.23,CBCTPYQT,284
QX5DTFX4VKZD,2915,108.13,165.76,ADLHCQHS,285
6OKVID9B87JX,2726,117.64,212.93,VKJBFVMM,286
2I41SN0F30ON,648,35.71,46.1,XIBBYVIU,287
KHTFUA1GWNQ6,4101,384.85,512.24,RRQRPLPC,288
MW8SO5WBG7P4,4186,412.84,661.78,NPKFJYGX,289
M1W7XM5WSG0Z,4293,429.2,809.47,CLZOYVBH,290
TVJ56QIVZWJ4,1282,135.93,223.47,GYUZEXSJ,291
EVI07C7JF9CR,147,4.01,4.78,ZPKADLOY,292
D27UPR5W6PWU,4032,392.76,576.57,TBFMEXZP,293
FRICWAVM8K5X,2793,147.24,177.42,MXRXJVNA,294
8EKYGKM3790I,2906,116.84,184.72,TDKEXBDM,295
CB4UR1FCQFS5,3267,403.42,651.52,BEVRQFGZ,296
J8SEQT79RAZU,2240,119.26,180.8,UADILPBU,297
7ZYXYNQW71V6,3412,398.08,528.65,XIBBYVIU,298
QMF5VFOQDOPZ,5619,380.92,719.94,KGMBUKHN,299
1DGG4JF4Y4PC,7061,407.45,695.92,BEVRQFGZ,300
E56SQUWQE4OR,11,0.42,0.71,GYUZEXSJ,301
XAOVT3HLH3I0,3819,399.41,608.3,YSNZSYCW,302
XRHWNWKNATW1,1409,149.91,251.4,JGOQSFJF,303
